,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
4934,OCCOC(NCCCOCCOCCOCCCNC(CCO)=O)=O,nan,nan,nan,[0.1],[384.2],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],31.36617482,-3358.450763,5.449980188,0.997243887
4942,N#CCCC#N,[Cu]CC(C)([Ca])C(=O)OCCOC(=O)NCCCOCCOCCOCCCNC(=O)OCCOC(=O)C(C)([Ca])C[Au],nan,nan,"[0.4, 0.2]","[80.03744813, 528.0]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.323420357,-1126.667379,0.500216061,0.996849399
4948,N#CCCC#N,[Cu]CC(C)([Ca])C(=O)OCCOC(=O)NCCCOCCOCCOCCCNC(=O)OCCOC(=O)C(C)([Ca])C[Au],nan,nan,"[0.425, 0.15]","[80.03744813, 528.0]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.575966048,-1248.254719,1.051035075,0.98915145
4955,N#CCCC#N,[Cu]CC(C)([Ca])C(=O)OCCOC(=O)NCCCOCCOCCOCCCNC(=O)OCCOC(=O)C(C)([Ca])C[Au],nan,nan,"[0.45, 0.1]","[80.03744813, 528.0]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.851470438,-1284.940414,1.379588989,0.991981453
4962,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.458862994, 0.458862994]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],0.589878647,-907.112421,1.00347814,0.995324126
4963,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.458768643, 0.458768643]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],0.591353174,-748.229572,0.415321197,0.996737584
4972,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.447540882, 0.447540882]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],0.771260875,-897.2403581,0.941195496,1
4973,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.447257829, 0.447257829]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],0.775913094,-782.3055289,0.558082987,0.997277225
4975,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.44735218, 0.44735218]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],0.7743617,-807.2040153,0.685589634,1
4982,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.432727786, 0.432727786]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.022901868,-1107.922131,1.728778506,0.998302608
